workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
charge_payment,F8,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
charge_payment,F8,V5,P95,10,27.7401,25.939,4.075341497619829,24.219,31.447,7.227999999999998,23.442999999999998,34.53,25.214177170405858,30.266022829594146
charge_payment,F8,V5,throughput,10,1051.355721464924,1072.691025337746,44.252021482345484,1017.2420458480494,1086.5611172624044,69.319071414355,978.0976344462044,1098.9502301235168,1023.9280343905452,1078.7834085393029
create_order,F3,V0,DER,80,0.08995625000000002,0.0742,0.0717192801854317,0.0469,0.195,0.1481,0.0088,0.2078,0.07424006979238608,0.10567243020761395
create_order,F3,V0,EOER,80,0.9100437499999998,0.9258,0.0717192801854317,0.8937,0.9884,0.0946999999999999,0.7922,0.9912,0.8943275697923859,0.9257599302076137
create_order,F3,V0,RSR,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V0,UAR,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V0,RAF,80,1.359825,1.2968000000000002,0.2868771207417268,1.1876,1.78,0.5924,1.0352,1.8312,1.2969602791695443,1.4226897208304559
create_order,F3,V0,DAF,80,1.359825,1.2968000000000002,0.2868771207417268,1.1876,1.78,0.5924,1.0352,1.8312,1.2969602791695443,1.4226897208304559
create_order,F3,V0,P95,80,31.545000000000005,32.801,13.458916093247007,27.836999999999996,40.846,13.009,8.064,76.196,28.595684973779317,34.49431502622069
create_order,F3,V0,throughput,80,793.2913153879474,781.7727102473041,479.59502445245596,381.4414067980009,1124.4187171210447,742.9773103230438,121.58542524027824,1676.2950058981803,688.1954219060036,898.3872088698912
create_order,F3,V2,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V2,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F3,V2,RSR,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V2,UAR,110,0.09320363636363638,0.09855,0.06119104228872325,0.0502,0.1034,0.053200000000000004,0.0087,0.2076,0.08176833591826482,0.10463893680900793
create_order,F3,V2,RAF,110,1.3728145454545457,1.3942,0.244764169154893,1.2008,1.4136,0.21279999999999988,1.0348,1.8304,1.3270733436730595,1.418555747236032
create_order,F3,V2,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F3,V2,P95,110,42.5407090909091,39.232,25.91537303756331,22.564,53.447,30.883000000000003,9.631,129.482,37.69767871008764,47.38373947173056
create_order,F3,V2,throughput,110,752.026343558129,831.1513685777262,356.5875053844485,420.6967308154931,998.2668924671251,577.570161651632,124.86572102673266,1447.3246517631787,685.3877457075384,818.6649414087196
create_order,F3,V4,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V4,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F3,V4,RSR,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V4,UAR,110,0.09273181818181817,0.09855,0.06134434756613899,0.0491,0.1026,0.0535,0.0085,0.2067,0.08126786825048365,0.10419576811315268
create_order,F3,V4,RAF,110,1.370927272727273,1.3942,0.24537739026455596,1.1964,1.4104,0.2140000000000002,1.034,1.8268,1.3250714730019348,1.4167830724526111
create_order,F3,V4,DAF,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
create_order,F3,V4,P95,110,43.30362727272728,40.7815,26.75795672896832,23.408,56.759,33.351,9.983,145.594,38.30313597440545,48.304118571049116
create_order,F3,V4,throughput,110,748.0524732466209,833.3368400466563,354.43491873281255,417.93738972456526,995.2605634185486,577.3231736939833,124.41031220412239,1447.7820716404813,681.8161479211494,814.2887985720924
create_order,F3,V5,DER,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create_order,F3,V5,EOER,110,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
