experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
CREATEORDER_V0_C0_F8_P1_C50_S7009,P95,12.438,"('group_b_ambiguous', 'F8', 'V0', 50);Q1=31.889999999999997;Q3=41.864;IQR=9.974",
CREATEORDER_V0_C0_F9_P1_C10_S7005,P95,18.029,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=10.047;Q3=13.066;IQR=3.019",
CREATEORDER_V0_C0_F9_P10_C10_S7007,P99,20.205,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=11.336;Q3=14.613;IQR=3.2769999999999992",
CREATEORDER_V0_C0_F9_P1_C10_S7005,P99,22.601,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=11.336;Q3=14.613;IQR=3.2769999999999992",
CREATEORDER_V0_C0_F9_P20_C10_S7008,P99,21.061,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=11.336;Q3=14.613;IQR=3.2769999999999992",
CREATEORDER_V0_C0_F9_P5_C10_S7001,P99,21.482,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=11.336;Q3=14.613;IQR=3.2769999999999992",
CREATEORDER_V0_C0_F9_P5_C10_S7006,P99,20.7,"('group_b_ambiguous', 'F9', 'V0', 10);Q1=11.336;Q3=14.613;IQR=3.2769999999999992",
CREATEORDER_V0_C0_F9_P1_C50_S7001,P95,12.987,"('group_b_ambiguous', 'F9', 'V0', 50);Q1=43.194;Q3=51.541;IQR=8.346999999999994",
CREATEORDER_V0_C0_F9_P1_C50_S7007,P95,19.111,"('group_b_ambiguous', 'F9', 'V0', 50);Q1=43.194;Q3=51.541;IQR=8.346999999999994",
CREATEORDER_V0_C0_F9_P1_C50_S7001,P99,15.688,"('group_b_ambiguous', 'F9', 'V0', 50);Q1=54.327;Q3=61.642;IQR=7.315000000000005",
CREATEORDER_V0_C0_F9_P1_C50_S7007,P99,38.329,"('group_b_ambiguous', 'F9', 'V0', 50);Q1=54.327;Q3=61.642;IQR=7.315000000000005",
CREATEORDER_V0_C0_F9_P20_C50_S7004,P99,75.084,"('group_b_ambiguous', 'F9', 'V0', 50);Q1=54.327;Q3=61.642;IQR=7.315000000000005",
CREATEORDER_V1_C1_F0_P0_C100_S7003,P95,211.023,"('group_a_baseline', 'F0', 'V1', 100);Q1=75.175;Q3=104.035;IQR=28.86",
CREATEORDER_V1_C1_F0_P0_C100_S7008,P95,170.393,"('group_a_baseline', 'F0', 'V1', 100);Q1=75.175;Q3=104.035;IQR=28.86",
CREATEORDER_V1_C1_F0_P0_C100_S7003,P99,276.925,"('group_a_baseline', 'F0', 'V1', 100);Q1=98.22;Q3=134.471;IQR=36.251000000000005",
CREATEORDER_V1_C1_F0_P0_C100_S7008,P99,215.011,"('group_a_baseline', 'F0', 'V1', 100);Q1=98.22;Q3=134.471;IQR=36.251000000000005",
CREATEORDER_V1_C1_F0_P0_C100_S7003,throughput,980.3900440075337,"('group_a_baseline', 'F0', 'V1', 100);Q1=1611.9924777599401;Q3=1702.7977488810316;IQR=90.80527112109144",
CREATEORDER_V1_C1_F0_P0_C100_S7008,throughput,1103.1275317624575,"('group_a_baseline', 'F0', 'V1', 100);Q1=1611.9924777599401;Q3=1702.7977488810316;IQR=90.80527112109144",
CREATEORDER_V1_C1_F0_P0_C10_S7000,P95,8.49,"('group_a_baseline', 'F0', 'V1', 10);Q1=9.209;Q3=9.661;IQR=0.45199999999999996",
CREATEORDER_V1_C1_F0_P0_C10_S7006,P95,16.594,"('group_a_baseline', 'F0', 'V1', 10);Q1=9.209;Q3=9.661;IQR=0.45199999999999996",
CREATEORDER_V1_C1_F0_P0_C10_S7003,P99,12.913,"('group_a_baseline', 'F0', 'V1', 10);Q1=10.32;Q3=11.282;IQR=0.9619999999999997",
CREATEORDER_V1_C1_F0_P0_C10_S7006,P99,23.433,"('group_a_baseline', 'F0', 'V1', 10);Q1=10.32;Q3=11.282;IQR=0.9619999999999997",
CREATEORDER_V1_C1_F0_P0_C10_S7000,throughput,1594.177273347151,"('group_a_baseline', 'F0', 'V1', 10);Q1=1395.4835457498612;Q3=1445.1921985262106;IQR=49.70865277634948",
CREATEORDER_V1_C1_F0_P0_C10_S7006,throughput,986.9881376107187,"('group_a_baseline', 'F0', 'V1', 10);Q1=1395.4835457498612;Q3=1445.1921985262106;IQR=49.70865277634948",
CREATEORDER_V1_C1_F0_P0_C1_S7000,P95,11.937,"('group_a_baseline', 'F0', 'V1', 1);Q1=6.941;Q3=7.84;IQR=0.899",
CREATEORDER_V1_C1_F0_P0_C1_S7000,P99,13.978,"('group_a_baseline', 'F0', 'V1', 1);Q1=7.734;Q3=8.856;IQR=1.1219999999999999",
CREATEORDER_V1_C1_F0_P0_C1_S7003,throughput,13.727644248851279,"('group_a_baseline', 'F0', 'V1', 1);Q1=144.6958764181169;Q3=170.81616069454208;IQR=26.120284276425167",
CREATEORDER_V1_C1_F0_P0_C50_S7003,P95,71.147,"('group_a_baseline', 'F0', 'V1', 50);Q1=43.114;Q3=45.445;IQR=2.331000000000003",
CREATEORDER_V1_C1_F0_P0_C50_S7006,P95,54.542,"('group_a_baseline', 'F0', 'V1', 50);Q1=43.114;Q3=45.445;IQR=2.331000000000003",
CREATEORDER_V1_C1_F0_P0_C50_S7000,P99,48.896,"('group_a_baseline', 'F0', 'V1', 50);Q1=54.234;Q3=56.238;IQR=2.003999999999998",
CREATEORDER_V1_C1_F0_P0_C50_S7003,P99,107.681,"('group_a_baseline', 'F0', 'V1', 50);Q1=54.234;Q3=56.238;IQR=2.003999999999998",
CREATEORDER_V1_C1_F0_P0_C50_S7006,P99,71.583,"('group_a_baseline', 'F0', 'V1', 50);Q1=54.234;Q3=56.238;IQR=2.003999999999998",
